Sales	Price	Advertising	ShelveLoc
10.27	109	12	Medium
12.3	94	10	Medium
6.03	129	10	Medium
6.53	131	0	Bad
7.44	104	0	Medium
0.53	159	7	Bad
9.09	123	0	Good
8.77	117	11	Medium
3.9	131	0	Bad
10.51	119	9	Good
7.56	97	0	Medium
11.48	87	13	Medium
10.49	114	8	Good
10.77	103	17	Good
7.64	128	0	Good
5.93	150	7	Medium
6.89	110	10	Medium
7.71	69	0	Medium
7.49	157	0	Good
10.21	90	8	Medium
12.53	112	1	Good
9.32	70	0	Bad
4.67	111	0	Medium
2.93	160	5	Medium
3.63	149	0	Medium
5.68	106	0	Bad
8.22	141	0	Medium
0.37	191	7	Bad
6.71	137	17	Medium
6.71	93	0	Medium
7.3	117	0	Medium
11.48	77	15	Good
8.01	118	12	Medium
12.49	55	12	Medium
9.03	110	13	Good
6.38	128	5	Medium
0	185	0	Medium
7.54	122	0	Medium
5.61	154	9	Medium
10.48	94	0	Medium
10.66	81	14	Medium
7.78	116	3	Medium
4.94	149	15	Bad
7.43	91	0	Medium
4.74	140	4	Bad
5.32	102	6	Medium
9.95	97	7	Medium
10.07	107	11	Medium
8.68	86	0	Medium
6.03	96	0	Bad
8.07	90	0	Medium
12.11	104	18	Medium
8.79	101	13	Medium
6.67	173	13	Good
7.56	93	0	Medium
13.28	96	7	Good
7.23	128	18	Medium
4.19	112	4	Bad
4.1	133	6	Bad
2.52	138	0	Medium
3.62	128	5	Medium
6.42	126	5	Medium
5.56	146	0	Medium
5.94	134	0	Medium
4.1	130	4	Bad
2.05	157	0	Bad
8.74	124	0	Medium
5.68	132	1	Medium
4.97	160	0	Medium
8.19	97	0	Bad
7.78	64	0	Bad
3.02	90	11	Bad
4.36	123	2	Bad
9.39	120	14	Medium
12.04	105	19	Medium
8.23	139	5	Medium
4.83	107	3	Medium
2.34	144	15	Bad
5.73	144	0	Medium
4.34	111	0	Medium
9.7	120	12	Medium
10.62	116	19	Good
10.59	124	15	Medium
6.43	107	0	Medium
7.49	145	6	Medium
3.45	125	9	Medium
4.1	141	0	Medium
6.68	82	0	Bad
7.8	122	0	Good
8.69	101	10	Medium
5.4	163	13	Bad
11.19	72	0	Medium
5.16	114	0	Bad
8.09	122	0	Medium
13.14	105	10	Good
8.65	120	18	Medium
9.43	129	11	Good
5.53	132	8	Medium
9.32	108	16	Medium
9.62	135	8	Medium
7.36	133	0	Good
3.89	118	0	Bad
10.31	121	0	Medium
12.01	94	0	Medium
4.68	135	0	Medium
7.82	110	13	Medium
8.78	100	0	Medium
10	88	0	Good
6.9	90	20	Bad
5.04	151	0	Bad
5.36	101	0	Medium
5.05	117	0	Bad
9.16	156	10	Good
3.72	132	5	Bad
8.31	117	0	Medium
5.64	122	5	Medium
9.58	129	23	Good
7.71	81	8	Bad
4.2	144	0	Medium
8.67	112	14	Medium
3.47	81	0	Bad
5.12	100	10	Bad
7.67	101	8	Bad
5.71	118	4	Medium
6.37	132	15	Medium
7.77	115	6	Medium
6.95	159	5	Good
5.31	129	10	Bad
9.1	112	12	Good
5.83	112	7	Bad
6.53	105	0	Medium
5.01	166	0	Medium
11.99	89	0	Good
4.55	110	0	Medium
12.98	63	0	Good
10.04	86	8	Medium
7.22	119	2	Medium
6.67	132	11	Medium
6.93	130	14	Medium
7.8	125	12	Medium
7.22	151	2	Good
3.42	158	13	Medium
2.86	145	10	Bad
11.19	105	7	Good
7.74	154	0	Good
5.36	117	0	Medium
6.97	96	11	Bad
7.6	131	11	Medium
7.53	113	11	Medium
6.88	72	4	Bad
6.98	97	0	Medium
8.75	156	25	Medium
9.49	103	14	Medium
6.64	89	0	Bad
11.82	74	16	Good
11.28	89	0	Good
12.66	99	3	Good
4.21	137	14	Medium
8.21	123	13	Good
3.07	104	13	Bad
10.98	130	0	Good
9.4	96	17	Medium
8.57	99	1	Medium
7.41	87	0	Medium
5.28	110	13	Bad
10.01	99	16	Medium
11.93	134	12	Good
8.03	132	26	Medium
4.78	133	1	Medium
5.9	120	0	Bad
9.24	126	19	Medium
11.18	80	13	Bad
9.53	166	29	Medium
6.15	132	12	Bad
6.8	135	5	Bad
9.33	54	3	Medium
7.72	129	10	Good
6.39	171	8	Good
15.63	72	5	Good
6.41	136	0	Good
10.08	130	10	Good
6.97	129	19	Medium
5.86	152	12	Medium
7.52	98	5	Medium
9.16	139	10	Good
10.36	103	18	Medium
2.66	150	4	Bad
11.7	104	11	Medium
4.69	122	0	Medium
6.23	104	17	Medium
3.15	111	1	Bad
11.27	89	9	Good
4.99	112	0	Bad
10.1	134	15	Medium
5.74	104	20	Medium
5.87	147	7	Medium
7.63	83	9	Bad
6.18	110	15	Medium
5.17	143	6	Bad
8.61	102	0	Medium
5.97	101	0	Medium
11.54	126	4	Good
7.5	91	0	Bad
7.38	93	0	Medium
7.81	118	13	Medium
5.99	121	10	Bad
8.43	126	0	Good
4.81	149	0	Good
8.97	125	0	Medium
6.88	112	0	Good
12.57	107	20	Good
9.32	96	18	Medium
8.64	91	17	Medium
10.44	105	16	Medium
13.44	122	14	Good
9.45	92	12	Medium
5.3	145	1	Medium
7.02	146	0	Good
3.58	164	0	Good
13.36	72	3	Medium
4.17	118	10	Bad
3.13	130	11	Bad
8.77	114	7	Good
8.68	104	10	Medium
5.25	110	0	Bad
10.26	108	1	Good
10.5	131	16	Good
6.53	162	0	Medium
5.98	134	11	Medium
14.37	53	0	Good
10.71	79	10	Good
10.26	122	22	Medium
7.68	119	22	Bad
9.08	126	0	Medium
7.8	98	0	Medium
5.58	116	0	Medium
9.44	118	7	Medium
7.9	124	4	Medium
16.27	92	19	Good
6.81	125	0	Medium
6.11	119	3	Medium
5.81	107	0	Bad
9.64	89	10	Medium
3.9	151	21	Bad
4.95	121	19	Medium
9.35	68	0	Medium
12.85	112	15	Good
5.87	132	13	Medium
5.32	160	0	Medium
8.67	115	14	Medium
8.14	78	11	Bad
8.44	107	8	Medium
5.47	111	9	Medium
6.1	124	0	Bad
4.53	130	13	Bad
5.57	120	10	Medium
5.35	139	19	Bad
12.57	128	17	Good
6.14	120	3	Medium
7.41	159	12	Medium
5.94	95	7	Bad
9.71	120	0	Good
