Timestamp	Starost	Spol	Visina	Teza	Cevelj	BarvaOci	Kajenje	Kajenje_koliko	Igrice	Televizija	Internet	Knjige	Sport	Domace_zivali	Studij	Fakulteta
2/27/2011 14:18:56	20	zenski	171	56	40	rjava	ne	0	ne	1	7	5	1	Macka	Splosna medicina	MF
2/27/2011 16:03:00	19	zenski	165	48	39	rjava	ne	0	ne	2	50	60	3	Macka	Dentalna medicina	MF
2/27/2011 17:58:35	20	zenski	175	57	39	plava	ne	0	ne	0	20	5	2	Pes	Dentalna medicina	MF
2/27/2011 19:19:50	20	zenski	169	60	40	zelena	ne	0	ne	5	9	10	4	Macka	Dentalna medicina	MF
2/27/2011 19:27:41	20	zenski	160	50	36	rjava	ne	0	da	7	7	20	3	Macka	Splosna medicina	MF
2/27/2011 19:31:30	20	moski	177	61	43	zelena	ne	0	ne	5	10	10	2	Riba	Dentalna medicina	MF
2/27/2011 19:31:43	20	moski	177	61	43	zelena	ne	0	ne	5	10	10	2	Riba	Dentalna medicina	MF
2/27/2011 20:31:27	20	zenski	166	60	38	drugo	ne	0	ne	0	24	20	7	Pes	Splosna medicina	MF
2/28/2011 9:39:22	20	zenski	170,5	54	39	plava	ne	0	ne	2	56	5	10	Ne	Splosna medicina	MF
2/28/2011 14:34:43	20	zenski	161	50	37	rjava	ne	0	ne	10	8	5	3	Pes	Splosna medicina	MF
2/28/2011 19:24:16	20	moski	202	97	49	plava	ne	0	da	25	28	10	10	Pes	Splosna medicina	MF
2/28/2011 20:33:06	21	zenski	164	56	38	plava	ne	0	ne	20	10	30	6	Ne	Splosna medicina	MF
03.01.2011 07:09	20	zenski	171	53	37	rjava	ne	0	ne	10	7	15	1	Macka, Pes	Dentalna medicina	MF
03.01.2011 07:55	20	zenski	180	79	41	plava	ne	0	ne	15	30	40	7	Macka	Splosna medicina	MF
03.01.2011 09:51	21	moski	170	60	42	rjava	ne	0	ne	6	15	10	4	Ne	Splosna medicina	MF
03.01.2011 14:09	20	moski	185	70	45	zelena	ne	0	ne	8	70	10	15	Ne	Splosna medicina	MF
03.01.2011 16:57	20	zenski	165	56	38	zelena	ne	0	ne	5	30	25	6	Macka	Splosna medicina	MF
03.01.2011 21:59	20	zenski	165	59	38	rjava	ne	0	ne	5	10	8	3	Pes	Dentalna medicina	MF
03.02.2011 12:40	20	zenski	172	60	39	zelena	ne	0	ne	5	10	100	3	Ne	Splosna medicina	MF
03.02.2011 14:26	20	zenski	170,5	54	39	drugo	ne	0	ne	5	56	10	10	Ne	Splosna medicina	MF
03.02.2011 17:42	20	moski	190	82	44	rjava	ne	0	ne	4	14	1	6	Macka, Pes	Dentalna medicina	MF
03.02.2011 17:46	20	moski	189	75	44	plava	ne	0	da	3	10	25	4	Da, drugo	Splosna medicina	MF
03.02.2011 18:26	20	zenski	176	100	41	rjava	ne	0	ne	3	11	8	3	Pes	Splosna medicina	MF
03.02.2011 20:44	20	zenski	165	65	38	rjava	ne	0	ne	3	7	2	1	Ne	Splosna medicina	MF
03.02.2011 22:45	20	zenski	173	53	39	rjava	ne	0	da	2	5	6	15	Pes	Splosna medicina	MF
03.03.2011 12:37	20	moski	198	85	47	rjava	ne	0	da	2	14	15	2	Ptic	Splosna medicina	MF
03.03.2011 15:08	20	moski	180	65	45	rjava	da	12	ne	4	10	4	2	Ne	Dentalna medicina	MF
03.03.2011 15:31	21	zenski	167	65	39	rjava	ne	0	da	21	14	1	7	Pes	Splosna medicina	MF
03.03.2011 15:32	20	moski	196	103	44	zelena	ne	0	da	0,2	3	10	4	Ne	Splosna medicina	MF
03.03.2011 15:55	26	zenski	170	61	38	rjava	ne	0	ne	1	10	15	5	Ne	Splosna medicina	MF
03.03.2011 16:50	20	zenski	170	65	39	rjava	ne	0	ne	1	3	0	2	Ne	Splosna medicina	MF
03.03.2011 17:11	20	zenski	162	50	37	rjava	ne	0	ne	2,5	10	1,5	2,5	Ne	Dentalna medicina	MF
03.03.2011 19:57	21	moski	184	64	43	rjava	ne	0	da	10	20	15	4	Macka	Splosna medicina	MF
03.03.2011 20:47	20	zenski	186	75	39	zelena	ne	0	ne	14	25	5	7	Ne	Splosna medicina	MF
03.03.2011 21:06	20	zenski	163	75	39	rjava	ne	0	ne	3	6	10	10	Pes	Splosna medicina	MF
03.03.2011 22:56	20	zenski	161	72	39	plava	ne	0	ne	4	42	7	5	Macka	Splosna medicina	MF
03.04.2011 13:39	20	moski	184	91	46	drugo	ne	0	da	10	10	4	3	Riba, Da, drugo	Splosna medicina	MF
03.04.2011 14:57	20	moski	186	88	43	plava	ne	0	da	3	10	6	6	Macka	Splosna medicina	MF
03.04.2011 16:47	19	zenski	171	68	38	zelena	ne	0	ne	6	15		5	Riba	Splosna medicina	MF
03.05.2011 14:25	20	zenski	163	50	38	rjava	ne	0	ne	0,5	5	6	4	Riba	Splosna medicina	MF
03.05.2011 18:45	20	moski	186	77	45	rjava	ne	0	ne	8	15	3	8	Macka, Pes, Ptic	Splosna medicina	MF
03.06.2011 20:44	20	zenski	168	47	38	zelena	ne	0	ne	8	14	2	1	Ne	Splosna medicina	MF
03.07.2011 09:15	20	moski	171	59	40	rjava	ne	0	da	2	15	10	10	Ne	Splosna medicina	MF
03.07.2011 14:32	20	moski	178	65	41	plava	ne	0	ne	2	7	2	5	Macka	Splosna medicina	MF
03.07.2011 14:44	20	zenski	168	54	38	rjava	ne	0	da	20	25	7	4	Da, drugo	Splosna medicina	MF
