"spol" "starost" "krovna_kat" "st_znakov_rec"
"74" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"75" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"76" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"79" "ženski" "10 do 13 let" "Duševno zdravje" "<250 znakov"
"80" "ženski" "18 do 21 let" "Spolno zdravje" ">750 znakov"
"85" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"86" "moški" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"88" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"89" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"90" "moški" "10 do 13 let" "Spolno zdravje" "<250 znakov"
"91" "moški" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"93" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"98" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"104" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"105" "ženski" "14 do 17 let" "Droge, zasvojenost" "> 250 in <750 znakov"
"108" "ženski" "10 do 13 let" "Spolnost" "> 250 in <750 znakov"
"109" "ženski" "18 do 21 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"110" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"112" "ženski" "10 do 13 let" "Spolnost" "> 250 in <750 znakov"
"113" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"115" "ženski" "18 do 21 let" "Odnosi" ">750 znakov"
"117" "ženski" "14 do 17 let" "Problemi, povezani s šolo" ">750 znakov"
"119" "ženski" "18 do 21 let" "Problemi, povezani s šolo" ">750 znakov"
"120" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"126" "ženski" "10 do 13 let" "Odnosi" ">750 znakov"
"129" "ženski" "10 do 13 let" "Odnosi" ">750 znakov"
"130" "ženski" "10 do 13 let" "Spolnost" "> 250 in <750 znakov"
"131" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"132" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"136" "ženski" "10 do 13 let" "Odnosi" "> 250 in <750 znakov"
"140" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"141" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"144" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"148" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"149" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"151" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"152" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"153" "ženski" "18 do 21 let" "Spolnost" "<250 znakov"
"161" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"162" "moški" "10 do 13 let" "Odnosi" "> 250 in <750 znakov"
"166" "moški" "18 do 21 let" "Telesno zdravje" "> 250 in <750 znakov"
"169" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"170" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"172" "ženski" "10 do 13 let" "Odnosi" "> 250 in <750 znakov"
"174" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"175" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"177" "ženski" "18 do 21 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"178" "ženski" "18 do 21 let" "Telesno zdravje" ">750 znakov"
"182" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"183" "ženski" "14 do 17 let" "Problemi, povezani s šolo" ">750 znakov"
"185" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"186" "moški" "14 do 17 let" "Problemi, povezani s šolo" "<250 znakov"
"188" "ženski" "10 do 13 let" "Odnosi" ">750 znakov"
"189" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"191" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"194" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"195" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"196" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"201" "moški" "14 do 17 let" "Spolno zdravje" ">750 znakov"
"202" "moški" "14 do 17 let" "Droge, zasvojenost" "<250 znakov"
"203" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"204" "moški" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"205" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"206" "ženski" "14 do 17 let" "Odnosi" "<250 znakov"
"208" "ženski" "18 do 21 let" "Duševno zdravje" "> 250 in <750 znakov"
"211" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"212" "ženski" "14 do 17 let" "Problemi, povezani s šolo" "<250 znakov"
"217" "ženski" "18 do 21 let" "Duševno zdravje" "<250 znakov"
"218" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"220" "ženski" "10 do 13 let" "Spolnost" ">750 znakov"
"221" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"222" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"223" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"224" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"226" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"232" "ženski" "14 do 17 let" "Spolnost" ">750 znakov"
"235" "ženski" "14 do 17 let" "Odnosi" "<250 znakov"
"237" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"238" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"244" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"247" "ženski" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"248" "ženski" "10 do 13 let" "Odnosi" ">750 znakov"
"249" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"250" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"252" "ženski" "10 do 13 let" "Odnosi" "> 250 in <750 znakov"
"257" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"261" "moški" "10 do 13 let" "Spolnost" "<250 znakov"
"263" "ženski" "14 do 17 let" "Duševno zdravje" "<250 znakov"
"266" "moški" "14 do 17 let" "Telesno zdravje" "<250 znakov"
"267" "moški" "18 do 21 let" "Odnosi" "<250 znakov"
"268" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"269" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"271" "ženski" "18 do 21 let" "Spolno zdravje" ">750 znakov"
"273" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"275" "ženski" "14 do 17 let" "Droge, zasvojenost" "<250 znakov"
"277" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"280" "ženski" "14 do 17 let" "Telesno zdravje" "<250 znakov"
"281" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"282" "ženski" "14 do 17 let" "Telesno zdravje" ">750 znakov"
"283" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"287" "ženski" "10 do 13 let" "Odnosi" ">750 znakov"
"288" "ženski" "18 do 21 let" "Spolnost" "> 250 in <750 znakov"
"289" "moški" "18 do 21 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"292" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"293" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"296" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"297" "ženski" "18 do 21 let" "Spolnost" "> 250 in <750 znakov"
"298" "ženski" "10 do 13 let" "Odnosi" ">750 znakov"
"300" "moški" "10 do 13 let" "Odnosi" "> 250 in <750 znakov"
"301" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"303" "ženski" "14 do 17 let" "Problemi, povezani s šolo" "<250 znakov"
"305" "ženski" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"306" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"308" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"310" "ženski" "18 do 21 let" "Telesno zdravje" "> 250 in <750 znakov"
"311" "ženski" "10 do 13 let" "Odnosi" "> 250 in <750 znakov"
"312" "ženski" "18 do 21 let" "Telesno zdravje" "> 250 in <750 znakov"
"317" "moški" "14 do 17 let" "Problemi, povezani s šolo" "<250 znakov"
"318" "moški" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"323" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"324" "ženski" "18 do 21 let" "Telesno zdravje" "> 250 in <750 znakov"
"325" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"327" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"328" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"332" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"333" "ženski" "14 do 17 let" "Duševno zdravje" "> 250 in <750 znakov"
"334" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"335" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"337" "moški" "14 do 17 let" "Droge, zasvojenost" "> 250 in <750 znakov"
"340" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"342" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"343" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"345" "moški" "18 do 21 let" "Spolnost" ">750 znakov"
"346" "ženski" "14 do 17 let" "Droge, zasvojenost" "> 250 in <750 znakov"
"347" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"350" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"352" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"355" "moški" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"367" "ženski" "10 do 13 let" "Duševno zdravje" ">750 znakov"
"376" "ženski" "10 do 13 let" "Odnosi" ">750 znakov"
"378" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"379" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"380" "ženski" "10 do 13 let" "Odnosi" "> 250 in <750 znakov"
"384" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"387" "ženski" "14 do 17 let" "Telesno zdravje" "<250 znakov"
"392" "ženski" "10 do 13 let" "Odnosi" "<250 znakov"
"395" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"398" "moški" "18 do 21 let" "Duševno zdravje" ">750 znakov"
"399" "moški" "14 do 17 let" "Spolnost" "<250 znakov"
"400" "ženski" "18 do 21 let" "Duševno zdravje" ">750 znakov"
"402" "ženski" "14 do 17 let" "Odnosi" "<250 znakov"
"403" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"406" "ženski" "14 do 17 let" "Duševno zdravje" "> 250 in <750 znakov"
"408" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"409" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"410" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"411" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"413" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"416" "ženski" "14 do 17 let" "Problemi, povezani s šolo" ">750 znakov"
"417" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"418" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"419" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"421" "ženski" "18 do 21 let" "Odnosi" ">750 znakov"
"424" "ženski" "18 do 21 let" "Spolno zdravje" "> 250 in <750 znakov"
"425" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"426" "ženski" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"427" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"428" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"429" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"431" "moški" "18 do 21 let" "Spolno zdravje" "> 250 in <750 znakov"
"435" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"437" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"438" "ženski" "10 do 13 let" "Problemi, povezani s šolo" "<250 znakov"
"442" "ženski" "10 do 13 let" "Odnosi" ">750 znakov"
"443" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"444" "moški" "10 do 13 let" "Spolno zdravje" "<250 znakov"
"445" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"446" "ženski" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"448" "moški" "10 do 13 let" "Odnosi" "<250 znakov"
"451" "ženski" "14 do 17 let" "Problemi, povezani s šolo" ">750 znakov"
"453" "moški" "18 do 21 let" "Duševno zdravje" ">750 znakov"
"461" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"463" "moški" "14 do 17 let" "Spolnost" "<250 znakov"
"464" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"467" "ženski" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"469" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"470" "ženski" "10 do 13 let" "Odnosi" "> 250 in <750 znakov"
"472" "ženski" "10 do 13 let" "Odnosi" "<250 znakov"
"473" "moški" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"474" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"478" "ženski" "10 do 13 let" "Problemi, povezani s šolo" ">750 znakov"
"481" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"482" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"485" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"491" "moški" "14 do 17 let" "Spolnost" "<250 znakov"
"493" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"495" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"498" "ženski" "14 do 17 let" "Duševno zdravje" "> 250 in <750 znakov"
"499" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"502" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"503" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"506" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"508" "moški" "10 do 13 let" "Odnosi" "> 250 in <750 znakov"
"511" "ženski" "14 do 17 let" "Spolnost" "<250 znakov"
"513" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"515" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"516" "moški" "14 do 17 let" "Spolnost" "<250 znakov"
"517" "moški" "10 do 13 let" "Odnosi" "<250 znakov"
"519" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"520" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"522" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"525" "ženski" "14 do 17 let" "Telesno zdravje" ">750 znakov"
"526" "moški" "10 do 13 let" "Odnosi" "<250 znakov"
"532" "ženski" "10 do 13 let" "Spolnost" "<250 znakov"
"534" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"536" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"537" "ženski" "10 do 13 let" "Problemi, povezani s šolo" ">750 znakov"
"539" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"540" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"542" "moški" "10 do 13 let" "Spolno zdravje" "<250 znakov"
"544" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"546" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"550" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"551" "ženski" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"552" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"554" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"562" "moški" "10 do 13 let" "Spolno zdravje" "<250 znakov"
"567" "moški" "10 do 13 let" "Telesno zdravje" "<250 znakov"
"569" "ženski" "14 do 17 let" "Spolno zdravje" ">750 znakov"
"574" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"576" "moški" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"577" "ženski" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"578" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"580" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"581" "ženski" "10 do 13 let" "Duševno zdravje" ">750 znakov"
"582" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"584" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"585" "moški" "14 do 17 let" "Odnosi" "<250 znakov"
"589" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"593" "ženski" "18 do 21 let" "Odnosi" ">750 znakov"
"595" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"597" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"598" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"599" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"602" "ženski" "10 do 13 let" "Telesno zdravje" "> 250 in <750 znakov"
"603" "ženski" "18 do 21 let" "Problemi, povezani s šolo" ">750 znakov"
"606" "ženski" "14 do 17 let" "Spolnost" "<250 znakov"
"608" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"609" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"612" "ženski" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"613" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"615" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"617" "ženski" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"618" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"620" "ženski" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"624" "moški" "14 do 17 let" "Spolnost" "<250 znakov"
"626" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"627" "ženski" "18 do 21 let" "Spolno zdravje" "> 250 in <750 znakov"
"628" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"630" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"632" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"634" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"636" "ženski" "10 do 13 let" "Odnosi" "<250 znakov"
"637" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"640" "moški" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"642" "ženski" "18 do 21 let" "Telesno zdravje" "> 250 in <750 znakov"
"643" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"644" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"646" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"647" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"648" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"650" "moški" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"652" "ženski" "18 do 21 let" "Spolnost" "> 250 in <750 znakov"
"653" "ženski" "18 do 21 let" "Spolnost" "> 250 in <750 znakov"
"656" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"657" "moški" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"658" "moški" "14 do 17 let" "Spolnost" "<250 znakov"
"660" "ženski" "10 do 13 let" "Telesno zdravje" "> 250 in <750 znakov"
"663" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"665" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"666" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"668" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"669" "ženski" "18 do 21 let" "Telesno zdravje" "> 250 in <750 znakov"
"671" "moški" "18 do 21 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"676" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"677" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"682" "ženski" "10 do 13 let" "Duševno zdravje" "> 250 in <750 znakov"
"683" "ženski" "10 do 13 let" "Spolnost" "> 250 in <750 znakov"
"687" "ženski" "14 do 17 let" "Odnosi" "<250 znakov"
"689" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"691" "ženski" "18 do 21 let" "Telesno zdravje" "> 250 in <750 znakov"
"692" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"693" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"694" "moški" "14 do 17 let" "Odnosi" "<250 znakov"
"695" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"696" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"697" "moški" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"698" "ženski" "18 do 21 let" "Spolnost" ">750 znakov"
"702" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"706" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"709" "moški" "14 do 17 let" "Telesno zdravje" ">750 znakov"
"713" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"714" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"715" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"716" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"718" "moški" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"719" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"722" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"723" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
